host: 127.0.0.1 , port: 36173 , time: time.struct_time(tm_year=2019, tm_mon=4, tm_mday=30, tm_hour=14, tm_min=51, tm_sec=5, tm_wday=1, tm_yday=120, tm_isdst=1) , request: read b'data.txt' , status: File already exists
host: 127.0.0.1 , port: 51826 , time: time.struct_time(tm_year=2019, tm_mon=4, tm_mday=30, tm_hour=14, tm_min=52, tm_sec=49, tm_wday=1, tm_yday=120, tm_isdst=1) , request: read b'log.txt' , status: File already exists
host: 127.0.0.1 , port: 36285 , time: time.struct_time(tm_year=2019, tm_mon=4, tm_mday=30, tm_hour=14, tm_min=52, tm_sec=50, tm_wday=1, tm_yday=120, tm_isdst=1) , request: read b'ack.txt' , status: File Not Found 
host: 127.0.0.1 , port: 56308 , time: time.struct_time(tm_year=2019, tm_mon=4, tm_mday=30, tm_hour=14, tm_min=53, tm_sec=7, tm_wday=1, tm_yday=120, tm_isdst=1) , request: read b'data.txt' , status: File already exists
host: 127.0.0.1 , port: 42993 , time: time.struct_time(tm_year=2019, tm_mon=4, tm_mday=30, tm_hour=15, tm_min=1, tm_sec=23, tm_wday=1, tm_yday=120, tm_isdst=1) , request: read b'log.txt' , status: File already exists
host: 127.0.0.1 , port: 40537 , time: time.struct_time(tm_year=2019, tm_mon=4, tm_mday=30, tm_hour=15, tm_min=1, tm_sec=24, tm_wday=1, tm_yday=120, tm_isdst=1) , request: read b'ack.txt' , status: File Not Found 
host: 127.0.0.1 , port: 51036 , time: time.struct_time(tm_year=2019, tm_mon=4, tm_mday=30, tm_hour=15, tm_min=2, tm_sec=15, tm_wday=1, tm_yday=120, tm_isdst=1) , request: read b'log.txt' , status: File already exists
host: 127.0.0.1 , port: 50922 , time: time.struct_time(tm_year=2019, tm_mon=4, tm_mday=30, tm_hour=15, tm_min=2, tm_sec=16, tm_wday=1, tm_yday=120, tm_isdst=1) , request: read b'ack.txt' , status: File Not Found 
host: 127.0.0.1 , port: 53040 , time: time.struct_time(tm_year=2019, tm_mon=4, tm_mday=30, tm_hour=15, tm_min=28, tm_sec=21, tm_wday=1, tm_yday=120, tm_isdst=1) , request: read b'data.txxt' , status: File Not Found 
host: 127.0.0.1 , port: 53040 , time: time.struct_time(tm_year=2019, tm_mon=4, tm_mday=30, tm_hour=15, tm_min=28, tm_sec=31, tm_wday=1, tm_yday=120, tm_isdst=1) , request: read b'data.txt' , status: File Not Found 
host: 127.0.0.1 , port: 53040 , time: time.struct_time(tm_year=2019, tm_mon=4, tm_mday=30, tm_hour=15, tm_min=30, tm_sec=14, tm_wday=1, tm_yday=120, tm_isdst=1) , request: write b'hl.txt' , status: succesfull 
host: 127.0.0.1 , port: 53040 , time: 30/04/2019 15:35:47 , request: read b'hl.txt' , status: File already exists
host: 127.0.0.1 , port: 58204 , time: time.struct_time(tm_year=2019, tm_mon=4, tm_mday=30, tm_hour=15, tm_min=57, tm_sec=9, tm_wday=1, tm_yday=120, tm_isdst=1) , request: write b'textfile.txt' , status: succesfull 
